mag_threshold,dir_threshold,sl_multiplier,tp_multiplier,regime,n_signals,n_trades,total_pnl,total_pnl_usd,win_rate,profit_factor,expectancy,sharpe,sortino,max_dd,calmar,avg_bars_held
0.4,0.55,1.0,4.0,False,41,14,-227.80999999999997,-455.61999999999995,0.21428571428571427,0.2626076260762607,-16.272142857142857,-5.551957112141328,-5.7378448631293235,-267.65,-0.851148888473753,4.285714285714286
0.4,0.55,1.0,5.0,False,41,14,-263.56000000000006,-527.1200000000001,0.14285714285714285,0.195187492365946,-18.82571428571429,-6.555104972770009,-6.920504998988516,-300.48,-0.8771299254526093,6.071428571428571
0.4,0.55,1.5,2.0,False,41,12,-263.98,-527.96,0.3333333333333333,0.14519784988018916,-21.998333333333335,-7.369699925096583,-6.968966575266635,-261.57,-1.0092135948312115,4.666666666666667
0.4,0.55,1.5,3.0,False,41,11,-230.68999999999997,-461.37999999999994,0.2727272727272727,0.25299527232692187,-20.97181818181818,-6.3836098392827765,-6.643771494734145,-261.85999999999996,-0.8809669288933017,5.7272727272727275
0.4,0.55,1.5,4.0,False,41,11,-230.68999999999997,-461.37999999999994,0.2727272727272727,0.25299527232692187,-20.97181818181818,-6.3836098392827765,-6.643771494734145,-261.85999999999996,-0.8809669288933017,5.7272727272727275
0.4,0.55,1.5,5.0,False,41,11,-266.44,-532.88,0.18181818181818182,0.18609481915933532,-24.221818181818183,-7.574041695110801,-8.067297436895425,-297.60999999999996,-0.8952656160747288,8.0
0.4,0.55,2.0,2.0,False,41,12,-248.23,-496.46,0.4166666666666667,0.1967446526227227,-20.68583333333333,-6.75213352696557,-6.323394506089829,-278.32,-0.8918870365047428,7.083333333333333
0.4,0.55,2.0,3.0,False,41,10,-179.14999999999995,-358.2999999999999,0.4,0.34733505774345147,-17.914999999999996,-5.094622895677613,-5.0846710468261,-261.28,-0.6856628903857929,10.1
0.4,0.55,2.0,4.0,False,41,10,-228.64999999999995,-457.2999999999999,0.3,0.25467761914075226,-22.864999999999995,-6.639227561420403,-6.9807476267023585,-261.28000000000003,-0.8751148193508876,20.4
0.4,0.55,2.0,5.0,False,41,10,-264.4,-528.8,0.2,0.18726177302348462,-26.439999999999998,-7.9075175354351686,-8.504760378333343,-279.82,-0.9448931455935958,22.9
0.4,0.55,3.0,2.0,False,41,10,-213.64999999999995,-427.2999999999999,0.6,0.2501140711101752,-21.364999999999995,-5.872417957267944,-5.277351536126362,-273.73999999999995,-0.7804851318769634,8.5
0.4,0.55,3.0,3.0,False,41,8,-144.57,-289.14,0.625,0.4225745896073811,-18.07125,-4.2668896594644385,-4.0945143062764355,-250.37,-0.5774254103926189,12.625
0.4,0.55,3.0,4.0,False,41,8,-230.31999999999996,-460.63999999999993,0.375,0.2532987518236343,-28.789999999999996,-7.068390215612712,-7.554254350606745,-262.95,-0.8759079672941623,25.875
0.4,0.55,3.0,5.0,False,41,8,-266.06999999999994,-532.1399999999999,0.25,0.18630539160218967,-33.25874999999999,-8.444160649536782,-9.178569768219507,-281.49,-0.9452200788660341,29.0
0.5,0.55,0.75,2.0,False,34,14,-252.30999999999992,-504.61999999999983,0.21428571428571427,0.13128356975623193,-18.02214285714285,-6.556910118993497,-6.2763856524035955,-240.98,-1.0470163499045562,3.0714285714285716
0.5,0.55,0.75,3.0,False,34,12,-256.98,-513.96,0.16666666666666666,0.09162248144220574,-21.415000000000003,-7.403707420634919,-7.172590096282129,-250.4,-1.0262779552715655,3.8333333333333335
0.5,0.55,0.75,4.0,False,34,12,-218.98,-437.96,0.16666666666666666,0.22594556380346414,-18.24833333333333,-5.870776056593635,-6.1119689442130145,-250.4,-0.8745207667731629,4.25
0.5,0.55,0.75,5.0,False,34,12,-218.98,-437.96,0.16666666666666666,0.22594556380346414,-18.24833333333333,-5.870776056593635,-6.1119689442130145,-250.4,-0.8745207667731629,4.25
0.5,0.55,1.0,2.0,False,34,10,-235.89999999999995,-471.7999999999999,0.2,0.12974508429556944,-23.589999999999996,-7.399103864958818,-7.258207231699769,-232.23999999999998,-1.015759559076817,4.3
0.5,0.55,1.0,3.0,False,34,10,-208.64999999999995,-417.2999999999999,0.2,0.23027262330763276,-20.864999999999995,-6.1802168400001385,-6.419775069496214,-238.56999999999996,-0.8745860753657206,5.1
0.5,0.55,1.0,4.0,False,34,10,-208.64999999999995,-417.2999999999999,0.2,0.23027262330763276,-20.864999999999995,-6.1802168400001385,-6.419775069496214,-238.56999999999996,-0.8745860753657206,5.1
0.5,0.55,1.0,5.0,False,34,10,-208.64999999999995,-417.2999999999999,0.2,0.23027262330763276,-20.864999999999995,-6.1802168400001385,-6.419775069496214,-238.56999999999996,-0.8745860753657206,5.1
0.5,0.55,1.5,2.0,False,34,8,-222.56999999999996,-445.13999999999993,0.25,0.1364553425933111,-27.821249999999996,-7.892554028397446,-7.752830065036484,-218.91,-1.0167191996710976,5.375
0.5,0.55,1.5,3.0,False,34,8,-195.32,-390.64,0.25,0.24218204392022968,-24.415,-6.508385687790324,-6.803624784575308,-225.23999999999998,-0.8671639140472386,6.375
0.5,0.55,1.5,4.0,False,34,8,-195.32,-390.64,0.25,0.24218204392022968,-24.415,-6.508385687790324,-6.803624784575308,-225.23999999999998,-0.8671639140472386,6.375
0.5,0.55,1.5,5.0,False,34,8,-195.32,-390.64,0.25,0.24218204392022968,-24.415,-6.508385687790324,-6.803624784575308,-225.23999999999998,-0.8671639140472386,6.375
0.5,0.55,2.0,2.0,False,34,8,-239.31999999999996,-478.63999999999993,0.25,0.12812852927246896,-29.914999999999996,-8.517576144707183,-8.490534991113748,-234.41,-1.0209462053666651,7.0
0.5,0.55,2.0,3.0,False,34,8,-212.07,-424.14,0.25,0.22740354839884877,-26.50875,-7.075031985049687,-7.523766319427931,-240.73999999999998,-0.8809088643349672,8.0
